    64:-cba   A c a m       -A 2 2ac          AOC$I1A000$P2C000$P2A606 
    64:bca    B b c m       -B 2 2bc          BOC$I1A000$P2C000$P2A066 
    64:a-cb   B m a b       -B 2bc 2          BOC$I1A000$P2C066$P2A000 
    65        C m m m       -C 2 2            COC$I1A000$P2C000$P2A000 
    65:cab    A m m m       -A 2 2            AOC$I1A000$P2C000$P2A000 
    65:bca    B m m m       -B 2 2            BOC$I1A000$P2C000$P2A000 
    66        C c c m       -C 2 2c           COC$I1A000$P2C000$P2A006 
    66:cab    A m a a       -A 2a 2           AOC$I1A000$P2C600$P2A000 
    66:bca    B b m b       -B 2b 2b          BOC$I1A000$P2C060$P2A060 
    67        C m m a       -C 2b 2           COC$I1A000$P2C060$P2A000 
    67:ba-c   C m m b       -C 2b 2b          COC$I1A000$P2C060$P2A060 
    67:cab    A b m m       -A 2c 2c          AOC$I1A000$P2C006$P2A006 
    67:-cba   A c m m       -A 2 2c           AOC$I1A000$P2C000$P2A006 
    67:bca    B m c m       -B 2 2c           BOC$I1A000$P2C000$P2A006 
    67:a-cb   B m a m       -B 2c 2           BOC$I1A000$P2C006$P2A000 
    68:1      C c c a:1      C 2 2 -1bc       COC$I1A066$P2C000$P2A000 
    68:2      C c c a:2     -C 2b 2bc         COC$I1A000$P2C060$P2A066 
    68:1ba-c  C c c b:1      C 2 2 -1bc       COC$I1A066$P2C000$P2A000 
    68:2ba-c  C c c b:2     -C 2b 2c          COC$I1A000$P2C060$P2A006 
    68:1cab   A b a a:1      A 2 2 -1ac       AOC$I1A606$P2C000$P2A000 
    68:2cab   A b a a:2     -A 2a 2c          AOC$I1A000$P2C600$P2A006 
    68:1-cba  A c a a:1      A 2 2 -1ac       AOC$I1A606$P2C000$P2A000 
    68:2-cba  A c a a:2     -A 2ac 2c         AOC$I1A000$P2C606$P2A006 
    68:1bca   B b c b:1      B 2 2 -1bc       BOC$I1A066$P2C000$P2A000 
    68:2bca   B b c b:2     -B 2bc 2b         BOC$I1A000$P2C066$P2A060 
    68:1a-cb  B b a b:1      B 2 2 -1bc       BOC$I1A066$P2C000$P2A000 
    68:2a-cb  B b a b:2     -B 2b 2bc         BOC$I1A000$P2C060$P2A066 
    69        F m m m       -F 2 2            FOC$I1A000$P2C000$P2A000 
    70:1      F d d d:1      F 2 2 -1d        FOC$I1A333$P2C000$P2A000 
    70:2      F d d d:2     -F 2uv 2vw        FOC$I1A000$P2C330$P2A033 
    71        I m m m       -I 2 2            IOC$I1A000$P2C000$P2A000 
    72        I b a m       -I 2 2c           IOC$I1A000$P2C000$P2A006 
    72:cab    I m c b       -I 2a 2           IOC$I1A000$P2C600$P2A000 
    72:bca    I c m a       -I 2b 2b          IOC$I1A000$P2C060$P2A060 
    73        I b c a       -I 2b 2c          IOC$I1A000$P2C060$P2A006 
    73:ba-c   I c a b       -I 2a 2b          IOC$I1A000$P2C600$P2A060 
    74        I m m a       -I 2b 2           IOC$I1A000$P2C060$P2A000 
    74:ba-c   I m m b       -I 2a 2a          IOC$I1A000$P2C600$P2A600 
    74:cab    I b m m       -I 2c 2c          IOC$I1A000$P2C006$P2A006 
    74:-cba   I c m m       -I 2 2b           IOC$I1A000$P2C000$P2A060 
    74:bca    I m c m       -I 2 2a           IOC$I1A000$P2C000$P2A600 
    74:a-cb   I m a m       -I 2c 2           IOC$I1A000$P2C006$P2A000 
    75        P 4            P 4              PTN$P4C000 
    76        P 41           P 4w             PTN$P4C003 
    77        P 42           P 4c             PTN$P4C006 
    78        P 43           P 4cw            PTN$P4C009 
    79        I 4            I 4              ITN$P4C000 
    80        I 41           I 4bw            ITN$P4C063 
    81        P -4           P -4             PTN$I4C000 
    82        I -4           I -4             ITN$I4C000 
    83        P 4/m         -P 4              PTC$I1A000$P4C000 
    84        P 42/m        -P 4c             PTC$I1A000$P4C006 
    85:1      P 4/n:1        P 4ab -1ab       PTC$I1A660$P4C660 
    85:2      P 4/n:2       -P 4a             PTC$I1A000$P4C600 
    86:1      P 42/n:1       P 4n -1n         PTC$I1A666$P4C666 
    86:2      P 42/n:2      -P 4bc            PTC$I1A000$P4C066 
    87        I 4/m         -I 4              ITC$I1A000$P4C000 
    88:1      I 41/a:1       I 4bw -1bw       ITC$I1A063$P4C063 
    88:2      I 41/a:2      -I 4ad            ITC$I1A000$P4C933 
    89        P 4 2 2        P 4 2            PTN$P4C000$P2A000 
    90        P 42 1 2       P 4ab 2ab        PTN$P4C660$P2A660 
    91        P 41 2 2       P 4w 2c          PTN$P4C003$P2A006 
    92        P 41 21 2      P 4abw 2nw       PTN$P4C663$P2A669 
    93        P 42 2 2       P 4c 2           PTN$P4C006$P2A000 
    94        P 42 21 2      P 4n 2n          PTN$P4C666$P2A666 
    95        P 43 2 2       P 4cw 2c         PTN$P4C009$P2A006 
    96        P 43 21 2      P 4nw 2abw       PTN$P4C669$P2A663 
    97        I 4 2 2        I 4 2            ITN$P4C000$P2A000 
    98        I 41 2 2       I 4bw 2bw        ITN$P4C063$P2A063 
    99        P 4 m m        P 4 -2           PTN$P4C000$I2A000 
